No	Hum	SC	Species
207	h	trg	Trifolium montanum t.
208	h	trh	Trifolium pratense t.
210	h	trj	h
209	h	tri	Trifolium spadiceum
669	h	trk	Trifolium striatum t.
510	h	tm	Trifolium undiff.
189	l	tre	Triglochin
338	h	trc	Triticum diccocum cf.
337	h	tr	Triticum t.
693	h	trm	Triticum t. cf.
339	h	trd	Trollius
62	h	tua	Tussilago t.
78	l	tyb	Typha latifolia
13	t	uu	Ulmus
343	h	urb	Urtica dioica
54	h	ur	Urtica undiff.
344	h	urc	Urtica urens
537	l	urd	Utricularia
345	d	vaa	Vaccinium t.
617	h	vac	Valeriana dioica
618	h	vad	Valeriana officinalis t.
346	h	vab	Valeriana undiff.
619	h	vae	Valerianella dentata
502	x	vv	Varia
227	h	veb	Veratrum cf.
602	h	vec	Verbascum t.
347	h	vea	Veronica
317	s	vi	Viburnum opulus t.
682	s	vim	Viburnum t.
211	h	vih	Vicia cracca
212	h	vii	Vicia faba
492	h	vib	Vicia t.
213	h	vij	Vicia/Lathyrus
620	h	vik	Viola
456	h	vic	Viola arvensis t.
473	h	vid	Viola palustris t.
318	s	vif	Viscum
319	s	vig	Vitis vinifera
658	p	cyp	Cystopteris fragillis
465	h	xa	Xanthium t. cf.
176	h	rbb	Rubiaceae undiff.
715	t	pix	Pinus haploxylon
716	h	cch	Cichoriaceae undiff.
717	p	rcc	Rumex acetosa/acetosella
718	t	gela	Gelasinospora sp. T1
719	x	sone	soneczko
720	x	cll	Callidina angusticollis
